raw_data,is_credit,date,amount,comments,bank,source
01/04/2023 to 31/03/2024,0,01/04/2023,,           to           ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"08-apr-23 74766513098313466237998 amazon http://www.am in 0.00 2,721.72",0,08-apr-23,2721.72,   apr                            amazon http   www am in              ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
11-apr-23 igst-ci@18% 0.00 35.82,0,11-apr-23,35.82,   apr    igst ci               ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"11-apr-23 amazon http://www.am in 0.00 -2,721.72",0,11-apr-23,-2721.72,   apr    amazon http   www am in               ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
11-apr-23 instant emi offus conversion 0.00 0.00,0,11-apr-23,0.0,   apr    instant emi offus conversion          ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
11-apr-23 processing fee 199 : 0% 0.00 199.00,0,11-apr-23,199.0,   apr    processing fee                     ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
11-apr-23 interest amount amortization - <1/3> 0.00 34.00,0,11-apr-23,34.0,   apr    interest amount amortization                   ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
11-apr-23 igst-ci@18% 0.00 6.12,0,11-apr-23,6.12,   apr    igst ci              ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
11-apr-23 principal amount amortization - <1/3> 0.00 896.00,0,11-apr-23,896.0,   apr    principal amount amortization                    ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"16-apr-23 74766513106315976500856 amazon http://www.am in 0.00 2,510.00",0,16-apr-23,2510.0,   apr                            amazon http   www am in              ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
17-apr-23 74766513107315022478395 amazon http://www.am in 0.00 694.00,0,17-apr-23,694.0,   apr                            amazon http   www am in            ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
17-apr-23 74766513107315009301792 amazon http://www.am in 0.00 799.00,0,17-apr-23,799.0,   apr                            amazon http   www am in            ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
17-apr-23 74766513107315009316592 amazon http://www.am in 0.00 575.65,0,17-apr-23,575.65,   apr                            amazon http   www am in            ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
20-apr-23 74766513110315174934240 amazon http://www.am in 0.00 369.55,0,20-apr-23,369.55,   apr                            amazon http   www am in            ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"23-apr-23 74766513113316362782935 amazon http://www.am in 0.00 1,599.00",0,23-apr-23,1599.0,   apr                            amazon http   www am in              ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"23-apr-23 74766513113316379562650 amazon http://www.am in 0.00 1,299.00",0,23-apr-23,1299.0,   apr                            amazon http   www am in              ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
24-apr-23 74766513114316436983856 amazon http://www.am in 0.00 699.00,0,24-apr-23,699.0,   apr                            amazon http   www am in            ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"26-apr-23 74922123026000092557024 euronet chennai in 0.00 -1,170.94",0,26-apr-23,-1170.94,   apr                            euronet chennai in               ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
"28-apr-23 74766513118316662512755 amazon http://www.am in 0.00 -1,299.00",0,28-apr-23,-1299.0,   apr                            amazon http   www am in               ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
29-apr-23 74332743120311966715554 swiggy bangalore in 0.00 409.00,0,29-apr-23,409.0,   apr                            swiggy bangalore in            ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
29-apr-23 74766513119316728661926 amazon http://www.am in 0.00 -799.00,0,29-apr-23,-799.0,   apr                            amazon http   www am in             ,ICICI,D:\work\code_and_stuff\git_repos\bank_statement_parser\Bank-Statement-Reader-Dashboard\1_data\icici_statements
